FlightKey,ReceiveTime,FlightNo,RegNo,DepAirport,ArrAirport,SOBT,CraftType
2025-08-03_CBG8811_ZGNN_ZLXY,20250804011807,CBG8811,B32J1,ZGNN,ZLXY,202508030750,A320
2025-08-03_CBG8811_ZLXY_ZLYL,20250804011758,CBG8811,B32J1,ZLXY,ZLYL,202508031115,A320
2025-08-03_CBG8811_ZGNN_ZLXY,20250804004023,CBG8811,B32J1,ZGNN,ZLXY,202508030750,A320
2025-08-03_CBG8811_ZGNN_ZLXY,20250804002126,CBG8811,B32J1,ZGNN,ZLXY,202508030750,A320
2025-08-03_CBG8811_ZLXY_ZLYL,20250803123117,CBG8811,B32J1,ZLXY,ZLYL,202508031115,A320
2025-08-03_CBG8811_ZLXY_ZLYL,20250803122739,CBG8811,B32J1,ZLXY,ZLYL,202508031115,A320
2025-08-03_CBG8811_ZLXY_ZLYL,20250803120606,CBG8811,B32J1,ZLXY,ZLYL,202508031115,A320
2025-08-03_CBG8811_ZLXY_ZLYL,20250803113803,CBG8811,B32J1,ZLXY,ZLYL,202508031115,A320
2025-08-03_CBG8811_ZLXY_ZLYL,20250803112338,CBG8811,B32J1,ZLXY,ZLYL,202508031115,A320
2025-08-03_CBG8811_ZLXY_ZLYL,20250803111432,CBG8811,B32J1,ZLXY,ZLYL,202508031115,A320
2025-08-03_CBG8811_ZGNN_ZLXY,20250803102357,CBG8811,B32J1,ZGNN,ZLXY,202508030750,A320
2025-08-03_CBG8811_ZGNN_ZLXY,20250803100623,CBG8811,B32J1,ZGNN,ZLXY,202508030750,A320
2025-08-03_CBG8811_ZGNN_ZLXY,20250803080819,CBG8811,B32J1,ZGNN,ZLXY,202508030750,A320
2025-08-03_CBG8811_ZGNN_ZLXY,20250803080330,CBG8811,B32J1,ZGNN,ZLXY,202508030750,A320
2025-08-03_CBG8811_ZGNN_ZLXY,20250803075146,CBG8811,B32J1,ZGNN,ZLXY,202508030750,A320
2025-08-03_CBG8811_ZGNN_ZLXY,20250803074147,CBG8811,B32J1,ZGNN,ZLXY,202508030750,A320
2025-08-03_CBG8811_ZLXY_ZLYL,20250803072153,CBG8811,B32J1,ZLXY,ZLYL,202508031115,A320
2025-08-03_CBG8811_ZGNN_ZLXY,20250803041405,CBG8811,B32J1,ZGNN,ZLXY,202508030750,A320
2025-08-03_CBG8811_ZGNN_ZLXY,20250803002736,CBG8811,,ZGNN,ZLXY,202508030750,
2025-08-03_CBG8811_ZLXY_ZLYL,20250803002717,CBG8811,,ZLXY,ZLYL,202508031115,
2025-08-03_CBG8811_ZLXY_ZLYL,20250802185528,CBG8811,,ZLXY,ZLYL,202508031115,
2025-08-03_CBG8811_ZGNN_ZLXY,20250802185514,CBG8811,,ZGNN,ZLXY,202508030750,
2025-08-03_CBG8811_ZLXY_ZLYL,20250802000842,CBG8811,,ZLXY,ZLYL,202508031115,
