FlightKey,ReceiveTime,MessageType,FlightNo,New_FlightNo,CraftType,New_CraftType,RegNo,New_RegNo,DepAirport,ArrAirport,New_Destination,New_Alternate_1,New_Alternate_2,New_Departure_Time,New_Route,New_Mission_STS,RawMessage
2025-08-25_CES703_ZSPD_ZSPD,2025-08-25 05:12:17,CPL,CES703,CES703,A333,A333,,,ZSPD,ZSPD,ZSPD,,,,,,"(CPL-CES703/A0132-IS
-A333/H-SDE1E2E3FGHIJ2J3J7M3P2RWYZ/LB1D1
-ZSPD-TODOD/2054S1010
-K0861S0950 TODOD VIKUP W191 DNC BIGUX JIG HO
-ZSPD
-RMK/TCAS II CAT III APPROVED RETURN ZSPD DUE COMPANY DECISION)"
2025-08-25_CES703_ZSPD_ZSPD,2025-08-25 05:27:56,CPL,CES703,CES703,A333,A333,,,ZSPD,ZSPD,ZSPD,,,,,,"(CPL-CES703/A0132-IS
-A333/H-SDE1E2E3FGHIJ2J3J7M3P2RWYZ/LB1D1
-ZSPD-TODOD/2054S1040
-K0861S0950 TODOD VIKUP W191 DNC BIGUX JIG HO
-ZSPD
-RMK/TCAS II CAT III APPROVED RETURN ZSPD DUE COMPANY DECISION)"
2025-08-25_AAR347_RKSI_ZLXY,2025-08-25 06:02:39,FPL,AAR347,,321NEO,,HL8533,,RKSI,ZLXY,,,,,,,"(FPL-AAR347-IS
-A21N/M-SDE2E3FGHIJ3J7M3P2RWXYZ/LB1D1
-RKSI0100
-K0868S0980 NOPIK2Y NOPIK Y697 BINIL Y697 AGAVO/K0868S0980 A591 
IKEKA W4 HCH W200 DOVIV/K0858S1040 W55 PAMRU W34 VYK B215 GODON 
W43 GUTRU W47 LOVRA
-ZLXY0238 ZUCK
-PBN/A1B1C1D1L1O1S2 DAT/1FANSP SUR/RSP180 260B DOF/250825 REG/HL8533
 
EET/ZSHA0019 ZBPE0051 ZLHW0200 SEL/LMCF CODE/71C533 OPR/AAR PER/C 
RMK/TCAS II EQUIPPED)"
2025-08-25_AAR348_ZLXY_RKSI,2025-08-25 06:04:21,FPL,AAR348,,321NEO,,HL8533,,ZLXY,RKSI,,,,,,,"(FPL-AAR348-IS                                                      
-A21N/M-SDE2E3FGHIJ3J7M3P2RWXYZ/LB1D1                               
-ZLXY0510                                                           
-K0859S1010 WJC G212 VYK W34 VAPGU W100 ORAVA W201 UNSEK A326       
 ALARA/K0849S0810 A326 SANKO/K0870S0810 A326 DONVO G597             
 AGAVO/N0439F250 Y644 REBIT REBIT2A                                 
-RKSI0216 RKSS                                                      
-PBN/A1B1C1D1L1O1S2 DAT/1FANSP SUR/RSP180 260B DOF/250825           
 REG/HL8533 EET/ZBPE0024 ZYSH0120 ZSHA0135 RKRR0148 SEL/LMCF        
 CODE/71C533 OPR/AAR PER/C RMK/TCAS II EQUIPPED)"
2025-08-25_CES2796_ZLXY_ZSNJ,2025-08-25 06:32:14,FPL,CES2796,,A20N,,B32J9,,ZLXY,ZSNJ,,,,,,,"(FPL-CES2796-IS
-A20N/M-SDE1E2E3FGHIM1RWY/LB1
-ZLXY0250
-K0857S0750 P17 H131 P62 H11 ML W118 REVKU H48 FYG B208 
P343/K0748S0450 B208 HFE W51 LEGIV W164 OREVO
-ZSNJ0131 ZSHC
-PBN/A1B1C1D1L1O1S2 SUR/260B DOF/250825 REG/B32J9 EET/ZHWH0021
 ZSHA0056 
SEL/DMAS CODE/782198 RMK/TCAS II)"
2025-08-25_CDC8153_ZLXY_ZWSH,2025-08-25 07:09:16,FPL,CDC8153,,A21N,,B32JX,,ZLXY,ZWSH,,,,,,,"(FPL-CDC8153-IS
-A21N/M-SDE1FGHIM3RWY/LB2
-ZLXY0250
-K0857S0920 TEBIB W541 OVKAB W94 XFG W213 APESU W197 ANDIM B215 
TODOD W112 TUSLI W187 SADAN W186 AKS W176 KHG
-ZWSH0409 ZWAK ZWAL
-PBN/A1B1C1D1L1O1S2 DOF/250825 REG/B32JX EET/ZWUQ0226 SEL/DMPQ
 CODE/7821AE 
OPR/ZHEJIANGLOONGAIR RALT/ZLXY ZLDH RMK/ACAS II AOC TEL 057182352500
 
OR 057181689590)"
2025-08-25_CPA946_VHHH_ZLXY,2025-08-25 07:11:42,FPL,CPA946,,333,,BLBK,,VHHH,ZLXY,,,,,,,"(FPL-CPA946-IS
-A333/H-SDE3GHIJ3J7M3P2RWYZ/LB1D1
-VHHH0310
-K0882S0690 BEKOL/K0882S1160 A461 SHL W22 TEPID W24 OSNOV G586 QP 
B330 ELKAL W179 IGNAK/K0881S1190 W179 WFX W81 MAKVI/K0886S1130 W81 
NSH
-ZLXY0247 ZUTF
-PBN/A1B1C1D1L1O1S2T1 NAV/RNP2 DAT/CPDLCX SUR/260B RSP180 DOF/250825
 
REG/BLBK EET/ZGZU0012 ZPKM0105 ZLHW0217 SEL/HJCM CODE/780A95 OPR/CPA
 
PER/D RMK/TCAS)"
2025-08-25_CCA8106_ZLXY_ZBHH,2025-08-25 07:26:06,FPL,CCA8106,,AJ27,,B650L,,ZLXY,ZBHH,,,,,,,"(FPL-CCA8106-IS
-AJ27/M-SDE1E2E3FGHIRWYZ/LB1
-ZLXY0305
-K0850S0890 WJC W193 ALGOV W101 VALNI
-ZBHH0118 ZBSJ
-PBN/A1B1C1D1L1O1S2 NAV/ABAS RNP2 DOF/250825 REG/B650L EET/ZBPE0039 
SEL/AFGJ CODE/781A8A RMK/TCAS)"
2025-08-25_KAL811_RKSI_ZLXY,2025-08-25 07:36:43,DLA,KAL811,,,,,,RKSI,ZLXY,,,,0030,,,(DLA-KAL811-RKSI0030-ZLXY-DOF/250825)
2025-08-25_CSN5787_ZJSY_ZLXY,2025-08-25 08:24:51,FPL,CSN5787,,321,,B8677,,ZJSY,ZLXY,,,,,,,"(FPL-CSN5787-IN
-A321/M-SDE2E3FGHIJ3J7LM3OP2RVWYZ/LB1D1
-ZJSY0355
-K0882S0920 PORAP W222 NUMKU W223 AGTEL/K0856S0890 W71 
RULOR/K0858S0950 W71 LH/K0858S0920 R339 P477 H19 KWE W3 
AGTIS/K0856S0890 W3 P690/K0859S0950 W3 DS W4 IGIRO H39 
AKD/K0854S0920 H36 NSH
-ZLXY0244 ZHNY
-PBN/A1B1C1D1L1O1S2 NAV/ABAS RNP2 DOF/250825 REG/B8677 EET/ZGZU0025 
ZPKM0114 ZLHW0211 SEL/CQER CODE/78109C PER/C RMK/ACASII HUD)"
2025-08-25_KAL812_ZLXY_RKSI,2025-08-25 08:51:35,FPL,KAL812,,333,,HL7553,,ZLXY,RKSI,,,,,,,"(FPL-KAL812-IS
-A333/H-SDE2FGHIJ3J5M1P2RWXYZ/LB1D1
-ZLXY0440
-K0895S1010 WJC G212 VYK W34 VAPGU/K0889S0890 W100 ORAVA W201 
UNSEK A326 ALARA/K0841S0890 A326 DOBGA/K0817S0810 A326 DONVO G597 
AGAVO/N0450F270 Y644 REBIT DCT
-RKSI0221 RKSS
-PBN/A1B1C1D1L1O1S2 DAT/1FANS CPDLCX SUR/RSP180 DOF/250825
 REG/HL7553 
EET/ZBPE0030 ZYSH0125 ZSHA0140 RKRR0153 SEL/JKBQ CODE/71BD53
 RMK/TCAS 
II EQUIPPED)"
2025-08-25_CQH6477_ZLXY_ZWYN,2025-08-25 09:39:36,FPL,CQH6477,,A20N,,B32FM,,ZLXY,ZWYN,,,,,,,"(FPL-CQH6477-IS
-A20N/M-SDE3FGHIM3RWYZ/LB1
-ZLXY0510
-K0850S0920 TEBIB W541 OVKAB W94 XFG W213 APESU W197 ANDIM B215
 IBANO G470 AKLAS W192 FKG A368 P221 H73 KLM H69 P165 H70 YNN
-ZWYN0351 ZWBL ZWKC
-PBN/A1B1C1D1L1O1S2 NAV/RNP2 REG/B32FM EET/ZWUQ0158 SEL/CRBQ
 CODE/781FF0 RALT/ZLIC ZWTL ZWWW RMK/TCAS ADSB
)"
