FlightKey,ReceiveTime,FPLA_Status,FlightNo,RegNo,CraftType,SOBT,SIBT,DepAirport,ArrAirport,APTSOBT,APTSIBT,APTDEPAP,APTARRAP,Route
2025-08-03_TBA6061_ZLXY_ZULS,20250731000303,ALL,TBA6061,B304M,A319,202508030620,202508030940,ZLXY,ZULS,202508030620,202508030940,ZLXY,ZULS,
2025-08-03_TBA6071_ZLXY_ZSHC,20250731000303,ALL,TBA6071,B32E6,A19N,202508030625,202508030830,ZLXY,ZSHC,202508030625,202508030830,ZLXY,ZSHC,
2025-08-03_TBA6053_ZLXY_ZUBD,20250731000303,ALL,TBA6053,B32AJ,A19N,202508030720,202508030950,ZLXY,ZUBD,202508030720,202508030950,ZLXY,ZUBD,
2025-08-03_TBA6055_ZLXY_ZUNZ,20250731000303,ALL,TBA6055,B8691,A319,202508030720,202508031020,ZLXY,ZUNZ,202508030720,202508031020,ZLXY,ZUNZ,
2025-08-03_TBA6031_ZLXY_ZPLJ,20250731000303,ALL,TBA6031,B32E7,A19N,202508030725,202508030955,ZLXY,ZPLJ,202508030725,202508030955,ZLXY,ZPLJ,
2025-08-03_TBA9963_ZULS_ZLXY,20250731000303,ALL,TBA9963,B306S,A319,202508030820,202508031115,ZULS,ZLXY,202508030820,202508031115,ZULS,ZLXY,
2025-08-03_TBA6011_ZLXY_ZPDL,20250731000303,ALL,TBA6011,B32FF,A19N,202508030925,202508031140,ZLXY,ZPDL,202508030925,202508031140,ZLXY,ZPDL,
2025-08-03_TBA6072_ZSHC_ZLXY,20250731000304,ALL,TBA6072,B32E6,A19N,202508031005,202508031235,ZSHC,ZLXY,202508031005,202508031235,ZSHC,ZLXY,
2025-08-03_TBA6054_ZUBD_ZLXY,20250731000304,ALL,TBA6054,B32AJ,A19N,202508031100,202508031305,ZUBD,ZLXY,202508031100,202508031305,ZUBD,ZLXY,
2025-08-03_TBA6056_ZUNZ_ZLXY,20250731000304,ALL,TBA6056,B8691,A319,202508031100,202508031320,ZUNZ,ZLXY,202508031100,202508031320,ZUNZ,ZLXY,
2025-08-03_TBA9964_ZLXY_ZULS,20250731000304,ALL,TBA9964,B306S,A319,202508031210,202508031520,ZLXY,ZULS,202508031210,202508031520,ZLXY,ZULS,
2025-08-03_TBA6012_ZPDL_ZLXY,20250731000304,ALL,TBA6012,B32FF,A19N,202508031220,202508031435,ZPDL,ZLXY,202508031220,202508031435,ZPDL,ZLXY,
2025-08-03_TBA6039_ZLXY_ZGSZ,20250731000304,ALL,TBA6039,B32E6,A19N,202508031335,202508031620,ZLXY,ZGSZ,202508031335,202508031620,ZLXY,ZGSZ,
2025-08-03_TBA6047_ZLXY_ZPZT,20250731000304,ALL,TBA6047,B8691,A319,202508031420,202508031625,ZLXY,ZPZT,202508031420,202508031625,ZLXY,ZPZT,
