FlightKey,ReceiveTime,FPLA_Status,FlightNo,RegNo,CraftType,SOBT,SIBT,DepAirport,ArrAirport,APTSOBT,APTSIBT,APTDEPAP,APTARRAP,Route
2025-08-01_TBA6059_ZLXY_ZURK,20250729000304,ALL,TBA6059,B32AJ,A19N,202508010620,202508010955,ZLXY,ZURK,202508010620,202508010955,ZLXY,ZURK,
2025-08-01_TBA6071_ZLXY_ZSHC,20250729000304,ALL,TBA6071,B32E6,A19N,202508010625,202508010830,ZLXY,ZSHC,202508010625,202508010830,ZLXY,ZSHC,
2025-08-01_TBA6053_ZLXY_ZUBD,20250729000304,ALL,TBA6053,unAvbl,A319,202508010720,202508010950,ZLXY,ZUBD,202508010720,202508010950,ZLXY,ZUBD,
2025-08-01_TBA6055_ZLXY_ZUNZ,20250729000304,ALL,TBA6055,B6443,A319,202508010720,202508011020,ZLXY,ZUNZ,202508010720,202508011020,ZLXY,ZUNZ,
2025-08-01_TBA6061_ZLXY_ZULS,20250729000304,ALL,TBA6061,B6473,A319,202508010720,202508011025,ZLXY,ZULS,202508010720,202508011025,ZLXY,ZULS,
2025-08-01_TBA6031_ZLXY_ZPLJ,20250729000304,ALL,TBA6031,B32E7,A19N,202508010725,202508010955,ZLXY,ZPLJ,202508010725,202508010955,ZLXY,ZPLJ,
2025-08-01_TBA9963_ZULS_ZLXY,20250729000304,ALL,TBA9963,B6475,A319,202508010820,202508011115,ZULS,ZLXY,202508010820,202508011115,ZULS,ZLXY,
2025-08-01_TBA6011_ZLXY_ZPDL,20250729000304,ALL,TBA6011,B32FF,A19N,202508010925,202508011140,ZLXY,ZPDL,202508010925,202508011140,ZLXY,ZPDL,
2025-08-01_TBA6072_ZSHC_ZLXY,20250729000304,ALL,TBA6072,B32E6,A19N,202508011005,202508011235,ZSHC,ZLXY,202508011005,202508011235,ZSHC,ZLXY,
2025-08-01_TBA6060_ZURK_ZLXY,20250729000304,ALL,TBA6060,B32AJ,A19N,202508011035,202508011345,ZURK,ZLXY,202508011035,202508011345,ZURK,ZLXY,
2025-08-01_TBA6054_ZUBD_ZLXY,20250729000304,ALL,TBA6054,unAvbl,A319,202508011040,202508011235,ZUBD,ZLXY,202508011040,202508011235,ZUBD,ZLXY,
2025-08-01_TBA6056_ZUNZ_ZLXY,20250729000304,ALL,TBA6056,B6443,A319,202508011100,202508011320,ZUNZ,ZLXY,202508011100,202508011320,ZUNZ,ZLXY,
2025-08-01_TBA9964_ZLXY_ZULS,20250729000304,ALL,TBA9964,B6475,A319,202508011210,202508011520,ZLXY,ZULS,202508011210,202508011520,ZLXY,ZULS,
2025-08-01_TBA6012_ZPDL_ZLXY,20250729000304,ALL,TBA6012,B32FF,A19N,202508011220,202508011435,ZPDL,ZLXY,202508011220,202508011435,ZPDL,ZLXY,
2025-08-01_TBA6039_ZLXY_ZGSZ,20250729000304,ALL,TBA6039,B32E6,A19N,202508011335,202508011620,ZLXY,ZGSZ,202508011335,202508011620,ZLXY,ZGSZ,
2025-08-01_TBA6047_ZLXY_ZPZT,20250729000304,ALL,TBA6047,B6443,A319,202508011420,202508011625,ZLXY,ZPZT,202508011420,202508011625,ZLXY,ZPZT,
2025-08-01_TBA6105_ZLXY_ZPJH,20250729000305,ALL,TBA6105,B32AJ,A19N,202508011505,202508011755,ZLXY,ZPJH,202508011505,202508011755,ZLXY,ZPJH,
2025-08-01_TBA9963_ZLXY_ZSNT,20250729000305,ALL,TBA9963,B32FF,A19N,202508011550,202508011800,ZLXY,ZSNT,202508011550,202508011800,ZLXY,ZSNT,
2025-08-01_TBA6062_ZULS_ZLXY,20250729000305,ALL,TBA6062,B6475,A319,202508011600,202508011845,ZULS,ZLXY,202508011600,202508011845,ZULS,ZLXY,
2025-08-01_TBA6047_ZPZT_ZPSM,20250729000305,ALL,TBA6047,B6443,A319,202508011715,202508011835,ZPZT,ZPSM,202508011715,202508011835,ZPZT,ZPSM,
2025-08-01_TBA6040_ZGSZ_ZLXY,20250729000305,ALL,TBA6040,B32E6,A19N,202508011810,202508012110,ZGSZ,ZLXY,202508011810,202508012110,ZGSZ,ZLXY,
2025-08-01_TBA6106_ZPJH_ZLXY,20250729000305,ALL,TBA6106,B32AJ,A19N,202508011845,202508012150,ZPJH,ZLXY,202508011845,202508012150,ZPJH,ZLXY,
2025-08-01_TBA6048_ZPSM_ZPZT,20250729000305,ALL,TBA6048,B6443,A319,202508011915,202508012035,ZPSM,ZPZT,202508011915,202508012035,ZPSM,ZPZT,
2025-08-01_TBA6032_ZPLJ_ZLXY,20250729000305,ALL,TBA6032,B32E7,A19N,202508011950,202508012225,ZPLJ,ZLXY,202508011950,202508012225,ZPLJ,ZLXY,
2025-08-01_TBA6051_ZLXY_ZULS,20250729000305,ALL,TBA6051,B6475,A319,202508012005,202508012325,ZLXY,ZULS,202508012005,202508012325,ZLXY,ZULS,
2025-08-01_TBA6052_ZULS_ZLXY,20250729000305,ALL,TBA6052,B1008,A319,202508012030,202508012315,ZULS,ZLXY,202508012030,202508012315,ZULS,ZLXY,
2025-08-01_TBA9964_ZSNT_ZLXY,20250729000305,ALL,TBA9964,B32FF,A19N,202508012050,202508012320,ZSNT,ZLXY,202508012050,202508012320,ZSNT,ZLXY,
2025-08-01_TBA6048_ZPZT_ZLXY,20250729000305,ALL,TBA6048,B6443,A319,202508012125,202508012315,ZPZT,ZLXY,202508012125,202508012315,ZPZT,ZLXY,
2025-08-01_TBA6059_ZLXY_ZURK,20250729000307,UPD,TBA6059,B32AJ,A19N,202508010620,202508010955,ZLXY,ZURK,202508010620,202508010955,ZLXY,ZURK,
2025-08-01_TBA6071_ZLXY_ZSHC,20250729000307,UPD,TBA6071,B32E6,A19N,202508010625,202508010830,ZLXY,ZSHC,202508010625,202508010830,ZLXY,ZSHC,
2025-08-01_TBA6061_ZLXY_ZULS,20250729000307,UPD,TBA6061,B6473,A319,202508010720,202508011025,ZLXY,ZULS,202508010720,202508011025,ZLXY,ZULS,
2025-08-01_TBA6072_ZSHC_ZLXY,20250729000307,UPD,TBA6072,B32E6,A19N,202508011005,202508011235,ZSHC,ZLXY,202508011005,202508011235,ZSHC,ZLXY,
2025-08-01_TBA6060_ZURK_ZLXY,20250729000307,UPD,TBA6060,B32AJ,A19N,202508011035,202508011345,ZURK,ZLXY,202508011035,202508011345,ZURK,ZLXY,
2025-08-01_TBA6039_ZLXY_ZGSZ,20250729000307,UPD,TBA6039,B32E6,A19N,202508011335,202508011620,ZLXY,ZGSZ,202508011335,202508011620,ZLXY,ZGSZ,
2025-08-01_TBA6105_ZLXY_ZPJH,20250729000307,UPD,TBA6105,B32AJ,A19N,202508011505,202508011755,ZLXY,ZPJH,202508011505,202508011755,ZLXY,ZPJH,
2025-08-01_TBA6040_ZGSZ_ZLXY,20250729000307,UPD,TBA6040,B32E6,A19N,202508011810,202508012110,ZGSZ,ZLXY,202508011810,202508012110,ZGSZ,ZLXY,
2025-08-01_TBA6106_ZPJH_ZLXY,20250729000307,UPD,TBA6106,B32AJ,A19N,202508011845,202508012150,ZPJH,ZLXY,202508011845,202508012150,ZPJH,ZLXY,
2025-08-01_TBA6052_ZULS_ZLXY,20250729000307,UPD,TBA6052,B1008,A319,202508012030,202508012315,ZULS,ZLXY,202508012030,202508012315,ZULS,ZLXY,
2025-08-01_CSN6248_ZLXY_ZYHB,20250729121228,UPD,CSN6248,B8990,A320,202508010730,202508011040,ZLXY,ZYHB,202508010730,202508011040,ZLXY,ZYHB,
2025-08-01_TBA6040_ZGSZ_ZLXY,20250729152700,SLOTCHG,TBA6040,B32E6,A19N,202508011810,202508012055,ZGSZ,ZLXY,202508011810,202508012055,ZGSZ,ZLXY,
2025-08-01_TBA6032_ZPLJ_ZLXY,20250729152700,SLOTCHG,TBA6032,B32E7,A19N,202508011915,202508012150,ZPLJ,ZLXY,202508011915,202508012150,ZPLJ,ZLXY,
2025-08-01_TBA6048_ZPSM_ZPZT,20250729152700,SLOTCHG,TBA6048,B6443,A319,202508011915,202508012025,ZPSM,ZPZT,202508011915,202508012025,ZPSM,ZPZT,
2025-08-01_TBA6048_ZPZT_ZLXY,20250729152700,SLOTCHG,TBA6048,B6443,A319,202508012105,202508012250,ZPZT,ZLXY,202508012105,202508012250,ZPZT,ZLXY,
