FlightKey,ReceiveTime,MessageType,FlightNo,New_FlightNo,CraftType,New_CraftType,RegNo,New_RegNo,DepAirport,ArrAirport,New_Destination,New_Alternate_1,New_Alternate_2,New_Departure_Time,New_Route,New_Mission_STS,RawMessage
2025-08-01_CSC8229_ZLXY_ZWWW,2025-07-31 21:31:10,FPL,CSC8229,,A20N,,B32KW,,ZLXY,ZWWW,,,,,,,"(FPL-CSC8229-IS
-A20N/M-SDE1E2E3FGHIM3RWY/EB2
-ZLXY0140
-K0780S0980 TEBIB W541 OVKAB W94 XFG/K0867S0980 W213 APESU W197 
ANDIM B215 IBANO G470 QTV/K0754S0660 W99 FKG B215 WUR
-ZWWW0300 ZWTL ZWBL
-PBN/A1B1C1D1L1O1S2T1 DOF/250801 REG/B32KW EET/ZWUQ0200 SEL/PSBC
 CODE/7821FF 
OPR/SICHUAN AIRLINES RALT/ZLXY ZWWW ZWTL RMK/ACAS II CAT II 300 LVTO
 
200)"
2025-08-01_CSC3260_ZSJN_ZLXY,2025-07-31 22:04:39,FPL,CSC3260,,A20N,,B328K,,ZSJN,ZLXY,,,,,,,"(FPL-CSC3260-IS
-A20N/M-SDE1E2E3FGHIM3RWY/EB2
-ZSJN0225
-K0780S0980 GULEK W4 OMLIX/K0769S0600 W4 SHX
-ZLXY0120 ZLLL ZBYN
-PBN/A1B1C1D1L1O1S2T1 DOF/250801 REG/B328K EET/ZHWH0018 ZLHW0057
 SEL/FMCQ 
CODE/781D42 OPR/SICHUAN AIRLINES RMK/ACAS II CAT II)"
2025-08-01_CSC3266_ZWSH_ZLXY,2025-07-31 23:01:39,FPL,CSC3266,,A20N,,B30E0,,ZWSH,ZLXY,,,,,,,"(FPL-CSC3266-IS
-A20N/M-SDE1E2E3FGHIM3RWY/EB1
-ZWSH0405
-K0780S1010 KHG W176 MAGIV W187 KARVI W191 DNC W565 BIGUX/K0809S0810
 
W214 HO
-ZLXY0330 ZBYN ZHCC
-PBN/A1B1C1D1L1O1S2T1 DOF/250801 REG/B30E0 EET/ZLHW0132 SEL/BRCS
 CODE/7818DE 
OPR/SICHUAN AIRLINES RALT/ZWWW ZLXY ZWSH ZLDH RMK/ACAS II CAT II)"
2025-08-01_CES2269_ZLXY_ZGSZ,2025-08-01 01:38:59,FPL,CES2269,,A21N,,B32LT,,ZLXY,ZGSZ,,,,,,,"(FPL-CES2269-IS
-A21N/M-SDE1E2E3FGHIM1RWY/LB1
-ZLXY0045
-K0861S0920 NSH W30 TAMUS W180 BONSA/K0857S0890 W180 LIDMA W182 
LAGEX G586 SJG B330 POU W7 SAREX
-ZGSZ0216 ZGGG
-PBN/A1B1C1D1L1O1S2 SUR/260B DOF/250801 REG/B32LT EET/ZPKM0023
 ZGZU0117 
SEL/FMBL CODE/782242 RMK/TCAS II CAT II APPROVED)"
2025-08-01_TBA6011_ZLXY_ZPDL,2025-08-01 05:14:46,FPL,TBA6011,,A19N,,B32FF,,ZLXY,ZPDL,,,,,,,"(FPL-TBA6011-IS
-A19N/M-SDE1E2E3GHIM1RWY/LB2
-ZLXY0125
-K0780S0980 NSH W30 HX H89 P570 H158 P513 J174 LJA
-ZPDL0156 ZUYB ZPPP
-PBN/B1C1D1L1O2S2T1 NAV/ABAS REG/B32FF
 EET/ZPKM0035 SEL/AQKL  CODE/781FD5
 RMK/ACASII AND CATII )"
2025-08-01_TBA6011_ZLXY_ZPDL,2025-08-01 05:14:55,FPL,TBA6011,,A19N,,B32FF,,ZLXY,ZPDL,,,,,,,"(FPL-TBA6011-IS
-A19N/M-SDE1E2E3GHIM1RWY/LB2
-ZLXY0125
-K0780S0980 NSH W30 HX H89 P570 H158 P513 J174 LJA
-ZPDL0156 ZUYB ZPPP
-PBN/B1C1D1L1O2S2T1 NAV/ABAS REG/B32FF EET/ZPKM0035 SEL/AQKL
 CODE/781FD5 
RMK/ACASII AND CATII)"
2025-08-01_CES2303_ZLXY_ZGGG,2025-08-01 05:36:32,CHG,CES2303,,,,,,ZLXY,ZGGG,ZGGG,ZGSZ,ZGOW,,,,"(CHG-CES2303-ZLXY0025-ZGGG-DOF/250801
-16/ZGGG0220 ZGSZ ZGOW)"
2025-08-01_CES2106_ZBAD_ZLXY,2025-08-01 05:43:37,FPL,CES2106,,A21N,,B32LT,,ZBAD,ZLXY,,,,,,,"(FPL-CES2106-IS
-A21N/M-SDE1E2E3FGHIM1RWY/LB1
-ZBAD0200
-K0868S0720 PEGSO B215 GODON W43 ATERI/K0821S0600 W43 GUTRU W47 
LOVRA
-ZLXY0125 ZLYL
-PBN/A1B1C1D1L1O1S2 SUR/260B DOF/250801 REG/B32LT EET/ZLHW0048
 SEL/FMBL 
CODE/782242 RMK/TCAS II CAT II APPROVED)"
2025-08-01_CDC8937_ZLXY_UTSS,2025-08-01 06:00:18,FPL,CDC8937,,A319,,B303T,,ZLXY,UTSS,,,,,,,"(FPL-CDC8937-IS
-A319/M-SDE1FGHIM3RWY/LB2
-ZLXY0150
-K0854S0980 TEBIB W541 OVKAB W94 XFG W213 APESU W197 ANDIM B215 
TODOD W112 TUSLI W187 SADAN W186 KAMUD/N0455F320 L147 BALVU B351 
RUDEK L143 TISIB L141 ILGOZ Y92 TITAR
-UTSS0516 UTTT
-PBN/A1B1C1D1L1O1S2 DOF/250801 REG/B303T EET/ZWUQ0229 UCFM0359
 UCFO0440 
UTTR0455 UTSD0522 SEL/DRBH CODE/78156D OPR/ZHEJIANGLOONGAIR RMK/CAT 
II TCAS AOC TEL 057182352500 OR 057181689590 THE OVERFLIGHT
 OPERATION 
PERMISSION N 52 1503 GCU R)"
2025-08-01_HXA2769_ZLXY_ZSJU,2025-08-01 06:40:09,FPL,HXA2769,,A20N,,B32MH,,ZLXY,ZSJU,,,,,,,"(FPL-HXA2769-IS
-A20N/M-SDFGIRW/LB2
-ZLXY0240
-K0809S0840 P241 H132 P234/K0848S0810 H36 SNF W269 OLPOV B213 WHA 
R343 SAGUD W50 XSH H17 SHR
-ZSJU0205 ZSHC
-PBN/B2B3B4B5C1D1O1S2 NAV/ABAS DOF/250801 REG/B32MH EET/ZHWH0031
 ZSHA0121 
SEL/HQDG CODE/78227D RMK/TCAS)"
2025-08-01_CES2269_ZLXY_ZGSZ,2025-08-01 06:41:03,CHG,CES2269,,,,,B32N1,ZLXY,ZGSZ,ZGSZ,ZGOW,,,,,"(CHG-CES2269-ZLXY0045-ZGSZ-DOF/250801
-16/ZGSZ0217 ZGOW
-18/PBN/A1B1C1D1L1O1S2 SUR/260B DOF/250801 REG/B32N1 EET/ZPKM0022
 ZGZU0118 
SEL/KMHQ CODE/7822C7 RMK/TCAS II CAT II APPROVED)"
